,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
44,2019-08-16,4.7700000000,4.8200000000,4.7500000000,4.7600000000,4.8000000000,-0.833300,0.405400,1,0
45,2019-08-19,4.7700000000,4.8800000000,4.7500000000,4.8700000000,4.7600000000,2.310900,0.665000,1,0
46,2019-08-20,4.8800000000,4.9300000000,4.8300000000,4.8500000000,4.8700000000,-0.410700,0.619600,1,0
47,2019-08-21,4.8400000000,4.8900000000,4.8100000000,4.8300000000,4.8500000000,-0.412400,0.469200,1,0
48,2019-08-22,4.8400000000,4.8500000000,4.7300000000,4.7800000000,4.8300000000,-1.035200,0.460200,1,0
49,2019-08-23,4.7700000000,4.9800000000,4.7500000000,4.9800000000,4.7800000000,4.184100,1.375600,1,0
50,2019-08-26,4.8800000000,5.0800000000,4.8500000000,5.0300000000,4.9800000000,1.004000,2.092400,1,0
51,2019-08-27,5.0100000000,5.1700000000,5.0100000000,5.0700000000,5.0300000000,0.795200,1.951400,1,0
52,2019-08-28,5.0500000000,5.0500000000,4.9300000000,4.9500000000,5.0700000000,-2.366900,1.215600,1,0
53,2019-08-29,4.9500000000,4.9700000000,4.9000000000,4.9500000000,4.9500000000,0.000000,0.556900,1,0
54,2019-08-30,4.9400000000,4.9800000000,4.8300000000,4.8300000000,4.9500000000,-2.424200,0.665300,1,0
55,2019-09-02,4.8100000000,4.9100000000,4.8000000000,4.8900000000,4.8300000000,1.242200,0.775000,1,0
56,2019-09-03,4.8800000000,4.9600000000,4.8500000000,4.9500000000,4.8900000000,1.227000,0.835100,1,0
57,2019-09-04,4.9200000000,4.9900000000,4.9200000000,4.9800000000,4.9500000000,0.606100,0.637800,1,0
58,2019-09-05,4.9800000000,5.0700000000,4.9800000000,5.0000000000,4.9800000000,0.401600,0.953400,1,0
59,2019-09-06,5.0000000000,5.1200000000,5.0000000000,5.0800000000,5.0000000000,1.600000,1.083500,1,0
60,2019-09-09,5.0800000000,5.2200000000,5.0600000000,5.1600000000,5.0800000000,1.574800,1.369200,1,0
61,2019-09-10,5.1700000000,5.2200000000,5.1200000000,5.1800000000,5.1600000000,0.387600,1.204800,1,0
62,2019-09-11,5.2000000000,5.2200000000,5.0600000000,5.0900000000,5.1800000000,-1.737400,1.179700,1,0
63,2019-09-12,5.1400000000,5.1800000000,5.0300000000,5.0700000000,5.0900000000,-0.392900,0.885400,1,0
